time_start,time_end,model,launch_place,target,carrier,launched,destroyed,source
2022-10-11 07:00,2022-10-11 13:00,Shahed-136/131,,Ukraine,,13,13,kpszsu/posts/pfbid0mtZwKQqK2Pg7GuxCYqAvW1tB4e4H97kWAn1KYEifpWWLShDtKBpy3aB16vCaUo3il
2022-10-11 07:00,2022-10-11 13:00,X-101/X-555 and Kalibr,Caspian Sea and Black Sea,Ukraine,Tu-95MS and Navi,28,20,kpszsu/posts/pfbid0mtZwKQqK2Pg7GuxCYqAvW1tB4e4H97kWAn1KYEifpWWLShDtKBpy3aB16vCaUo3il
2022-10-12,2022-10-12,Shahed-136/131,,Ukraine,,17,17,kpszsu/posts/pfbid034dE8DW22wTNPUnVBGomVhu29AC3eiiWo56avuxjYLXPCUhEc3S1gN3h4FS4SWv99l
2022-10-12,2022-10-12,Lancet,,Ukraine,,2,2,kpszsu/posts/pfbid034dE8DW22wTNPUnVBGomVhu29AC3eiiWo56avuxjYLXPCUhEc3S1gN3h4FS4SWv99l
2022-10-13,2022-10-13 08:00,Shahed-136/131,,Odesa oblast and Mykolaiv oblast,,6,6,kpszsu/posts/pfbid02MrwJSi82py3PLX3WccLtnQ3tU9ux2UcDsJ2qZokDC8DFKXgBp68fZ36tFMNqtf21l
2022-10-13 16:00,2022-10-13 17:00,Kalibr,Black Sea,west,Navi,5,5,kpszsu/posts/pfbid02bcKsfy5x7GLiQaC81A6TjqKTkGJwBCLi6Mx9rv8AgDmgoMD5JeSMZUNr7Ua6Dmjl
2022-10-14,2022-10-14 08:00,Shahed-136/131,,Ukraine,,8,8,kpszsu/posts/pfbid0eQTXEa84uvWMEkqSk8x6U4JfRQNwB6vFGeQWvpNUuhCBaUM7E3FFv9SChd2RY8dol
2022-10-15 00:00,2022-10-15 00:30,Shahed-136/131,,Ukraine,,6,6,kpszsu/posts/pfbid0Qh5fhn2ZSJah78q33zVQNScY3CEVJ1t1kCy1H3JbLgL6j42CbP4ocGavGEuGgJxzl
2022-10-16 21:30,2022-10-16 21:30,Shahed-136/131,,south,,11,11,kpszsu/posts/pfbid02JKqiyLNPBwv9VdAcCJdXTvq73TjynUjVioohrag6pHRA1yxGFTSi9iw3shaWSX4Wl
2022-10-17 03:30,2022-10-17 06:50,Shahed-136/131,,Odesa oblast and Mykolaiv oblast,,15,15,kpszsu/posts/pfbid02TD6PcHZyPw52QZVet5zXMr5FQXaCw848ebsxPpLZLEENqzVfmt4CUBCopqBPsxyMl
2022-10-17 03:30,2022-10-17 06:50,Unknown Missile,,Ukraine,,3,3,kpszsu/posts/pfbid02TD6PcHZyPw52QZVet5zXMr5FQXaCw848ebsxPpLZLEENqzVfmt4CUBCopqBPsxyMl
2022-10-17,2022-10-17 10:00,Shahed-136/131,,Ukraine,,11,11,kpszsu/posts/pfbid02YU7oDaBcB48Kxuuzmmzphehk1snk5oo557EYTWCnreoNrpc5yMZYRjoFS2eGXLwNl
2022-10-17 15:00,2022-10-17 15:00,Kalibr,Black Sea,Ukraine,Navi,2,2,kpszsu/posts/pfbid02nLZQxRZWYR2bCJfXVDDgfag3LsHuw5jkAUFfjyRGHFMZZcGUCVPHvvzFNCC8c3jYl
2022-10-17,2022-10-17 21:00,Shahed-136/131,,Ukraine,,8,8,kpszsu/posts/pfbid02nLZQxRZWYR2bCJfXVDDgfag3LsHuw5jkAUFfjyRGHFMZZcGUCVPHvvzFNCC8c3jYl
2022-10-18,2022-10-18 08:00,Shahed-136/131,,Ukraine,,6,6,kpszsu/posts/pfbid0a2YYDNN4TPmq9jyJQ69inBXzi6pBtT4LVJCuV7xTUBSnDXdFHaLHqFC3yxX74fbxl
2022-10-18,2022-10-18 08:00,X-101/X-555,,Ukraine,,1,1,kpszsu/posts/pfbid0a2YYDNN4TPmq9jyJQ69inBXzi6pBtT4LVJCuV7xTUBSnDXdFHaLHqFC3yxX74fbxl
2022-10-18,2022-10-18 08:00,Kalibr,Black Sea,Ukraine,Navi,4,4,kpszsu/posts/pfbid0a2YYDNN4TPmq9jyJQ69inBXzi6pBtT4LVJCuV7xTUBSnDXdFHaLHqFC3yxX74fbxl
2022-10-19,2022-10-19 08:00,Shahed-136/131,,Mykolaiv oblast,,13,13,kpszsu/posts/pfbid0dvpyPJB63BjXga5mid42iZziAYUiFYQzBx6YajQ7gC57xUyfu5dGeGqyYYwsbHVrl
2022-10-19 12:00,2022-10-19 15:30,X-101/X-555,north-east,Ukraine,Tu-95 and Tu-160,6,4,kpszsu/posts/pfbid033iCN7MDqAnqob6Bn8ZZdCcuFpyQKZd2abkcYf2ehbriqGBgvxuv6sAUA5pDiemWl
2022-10-19 12:00,2022-10-19 15:30,Shahed-136/131,Belarus,Ukraine,,10,10,kpszsu/posts/pfbid033iCN7MDqAnqob6Bn8ZZdCcuFpyQKZd2abkcYf2ehbriqGBgvxuv6sAUA5pDiemWl
2022-10-20 00:00,2022-10-20 02:00,Shahed-136/131,,Mykolaiv oblast,,14,14,kpszsu/posts/pfbid0Q3QMCd1DJzN6whFeCPoLdL8EjpZosxdop7fA3zpAoLt3NKgMgHLdpfHUWWUZ7WB8l
2022-10-22 00:00,2022-10-22 02:00,Shahed-136/131,,Mykolaiv oblast,,10,10,kpszsu/posts/pfbid02BZffKZ7hQv7LHnCLLDJKjfCzSMrqN4LxRusevhacdRrsHeRVJ1XMLvPJ3RY8iv93l
2022-10-22 07:00,2022-10-22 11:00,Kalibr,Black Sea,Ukraine,Navi,16,5,kpszsu/posts/pfbid02eZKmuhuBEXeFQmBusqtMaBnmFfGXRhSrxf8vHQBTgRBghGSQJJMg7GeNcR86nfRl
2022-10-22 07:00,2022-10-22 11:00,X-101/X-555,Caspian Sea and Volgodonsk,Ukraine,Tu-95 and Tu-160,17,13,kpszsu/posts/pfbid02eZKmuhuBEXeFQmBusqtMaBnmFfGXRhSrxf8vHQBTgRBghGSQJJMg7GeNcR86nfRl
2022-10-23 00:00,2022-10-23 02:00,Shahed-136/131,,Ukraine,,16,16,kpszsu/posts/pfbid02CvjcUHYXZ6sScGpvSHfbU5up1TQHvt8ENce6nKzWYTSmzci3uWuKQzy1ovTd6q3vl
2022-10-25 21:00,2022-10-25 21:00,Shahed-136/131,,Kherson oblast,,2,2,kpszsu/posts/pfbid07GLkQrKHY8NKfEPShnA4Z5RFvreezUYDQBzut2iJZYNaPxQuAZAoYgF4sy4afkTBl
2022-10-25 21:30,2022-10-25 21:30,Shahed-136/131,,Dnipropetrovsk oblast,,1,1,kpszsu/posts/pfbid0GjtNgg9D6KWiQz2KEHRaE3xzRZic9fvSkNwA4LZFCXVeNDNffpaK51QRvxzmtEfVl
2022-10-26 22:00,2022-10-26 23:59,Shahed-136/131,,Odesa oblast and Mykolaiv oblast and Vinnytsia oblast,,20,19,kpszsu/posts/pfbid0Nz8sSvbeVf4bYVindHVRiEwhHxRKvc2EQisqUXWwm69n9p3uPhhUdCUjwFyL9GhWl
2022-10-26 22:00,2022-10-26 23:59,X-59,,Ukraine,,1,1,kpszsu/posts/pfbid0Nz8sSvbeVf4bYVindHVRiEwhHxRKvc2EQisqUXWwm69n9p3uPhhUdCUjwFyL9GhWl
2022-10-31 07:00,2022-10-31 09:00,X-101/X-555,Caspian Sea and Volgodonsk,Ukraine,Tu-95 and Tu-160,50,44,kpszsu/posts/pfbid0mrAatxEGbfHxyZLcCXnn86UXN2qjbYCPMW1ND1t4JNRrHNXCK4hmc4GEAxPZbDgjl
2022-11-01 01:30,2022-11-02 03:00,Shahed-136/131,north-east,Poltava oblast,,3,3,kpszsu/posts/pfbid02Wm6DzLJGCG5rSRJ7MKGNZg2p6bvk2dJu7frZVtVdtPKT1SYg2H6zcqaEUWe2E1Gkl
2022-11-01 01:30,2022-11-02 03:00,Shahed-136/131,north-east,Dnipropetrovsk oblast,,3,3,kpszsu/posts/pfbid02Wm6DzLJGCG5rSRJ7MKGNZg2p6bvk2dJu7frZVtVdtPKT1SYg2H6zcqaEUWe2E1Gkl
2022-11-01 12:00,2022-11-01 12:00,Reconnaissance UAV,,Donetsk oblast,,1,1,kpszsu/posts/pfbid02QoLAbTAh8vsMRhyRgMWXJijiwcK2Rf7efCrwtoU8kar2uiAPzGVDywuhpXotuh1Ll
2022-11-01 23:00,2022-11-02 01:00,Shahed-136/131,,east,,13,12,kpszsu/posts/pfbid0283Mw4wfcVDMWsUBohsEc1mP3dKQPKAYa6NCs8Z7EzR3MD1aD6ADtu9WerPTwEDbGl
2022-11-03 22:00,2022-11-04 01:00,Shahed-136/131,,east,,9,9,kpszsu/posts/pfbid0xouRBGCch7kyn4J775vuBzhJPzGbhTxATn2YvNM3vEDLA47TbCJtvJswkbDEDRoYl
2022-11-04 16:00,2022-11-04 16:00,Kalibr,,south,,2,2,kpszsu/posts/pfbid02yZohbWhrTwfjRSE73MQrhdbt8EctQ1JUZrDxo8yJb9ShbD8HxCwjWCT5Qwnf9D8al
2022-11-04,2022-11-04,Unknown UAV,,,,3,3,kpszsu/posts/pfbid02yZohbWhrTwfjRSE73MQrhdbt8EctQ1JUZrDxo8yJb9ShbD8HxCwjWCT5Qwnf9D8al
2022-11-04,2022-11-04,Shahed-136/131,,,,11,11,kpszsu/posts/pfbid02yZohbWhrTwfjRSE73MQrhdbt8EctQ1JUZrDxo8yJb9ShbD8HxCwjWCT5Qwnf9D8al
2022-11-09,2022-11-09,Shahed-136/131,Zaporizhzhia oblast,,,5,5,kpszsu/posts/pfbid02qZmk4NqTpbjF8N2j6Kj6iX5dextMG6KTyUChyWKDcFHJ5oz7qPSUJsrfaiFDWfqul
